date,amount,category,description
01-12-2024,50000.0,Income,Salary
02-12-2024,680.0,Expense,Light Bill
03-12-2024,5000.0,Expense,Ration
04-12-2024,1080.0,Expense,Cheese Burger and Pizza
05-12-2024,500.0,Income,Amazon Gift Card (Bing)
06-12-2024,3000.0,Expense,New Headphones
07-12-2024,850.0,Expense,Internet Bill
08-12-2024,200.0,Expense,Coffee at Starbucks
09-12-2024,2500.0,Expense,Groceries
10-12-2024,1500.0,Expense,Movie Tickets and Snacks
11-12-2024,10000.0,Income,Freelance Work
12-12-2024,2200.0,Expense,Clothing
13-12-2024,1200.0,Expense,Restaurant Dinner
14-12-2024,500.0,Expense,Mobile Recharge
15-12-2024,15000.0,Income,Stock Market Earnings
16-12-2024,500.0,Expense,Taxi Fare
17-12-2024,6000.0,Expense,Rent
18-12-2024,180.0,Expense,Stationery
19-12-2024,300.0,Expense,Ice Cream
20-12-2024,2500.0,Expense,Online Shopping
21-12-2024,800.0,Expense,Electricity Bill
22-12-2024,4000.0,Income,Side Hustle Earnings
23-12-2024,1200.0,Expense,Gym Membership Renewal
24-12-2024,700.0,Expense,Haircut
25-12-2024,1000.0,Expense,Christmas Gifts
26-12-2024,1500.0,Expense,Pet Supplies
27-12-2024,230.0,Expense,Coffee and Snacks
28-12-2024,9000.0,Income,Project Completion Bonus
29-12-2024,3200.0,Expense,Party with Friends
30-12-2024,500.0,Expense,Books
31-12-2024,49000.0,Expense,New Year's Eve Celebration
